"Gene","Spearman_rho","P_value","FDR"
"MYLK",-0.193277488268878,1.43158170395938e-05,0.000157473987435532
"PRKCB",-0.148583802419771,0.00089191462505873,0.00327035362521534
"MYLK4",-0.149491077073827,0.000828507172686002,0.00327035362521534
"PDGFC",-0.134072963021572,0.00274479464261509,0.00754818526719151
"VEGFD",0.107243474878193,0.0167699419175518,0.0368938722186141
"EGFR",-0.0413067881405918,0.358123694517638,0.65656010661567
"PRKCA",-0.0295692496558921,0.510739972059778,0.802591384665366
"PDGFD",-0.016817091466517,0.708408635717562,0.865832776988131
"KDR",0.0202063170125026,0.653156790316768,0.865832776988131
"MET",0.00988177587228458,0.826065870184093,0.908672457202502
"PDGFRA",0.000226329288591157,0.99598429084373,0.99598429084373
