"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022613","ribonucleoprotein complex biogenesis",460,-0.594307221042503,-3.4889050143378,1.38089979356127e-71,8.5753877180155e-68,4.1354314870335e-68,3967,"tags=54%, list=18%, signal=45%","6232/10181/10713/55702/6880/131870/84273/79029/8175/6433/8669/10262/11340/79760/92342/25926/27335/56902/79863/51634/220717/8996/24148/10480/83939/84881/8602/6125/55661/83443/84946/102157402/9092/83743/64794/84844/1968/6135/6606/6430/8664/55178/317781/9129/6154/6189/26574/8666/57819/51367/84769/51118/79922/2068/1939/4931/55319/54496/6203/8487/65095/10436/6230/6191/10078/10360/3692/23560/4809/51747/55027/91893/27079/121053/81554/27043/27341/6229/57050/2197/84154/10514/57696/6208/10775/6223/85395/2091/6205/6233/4869/285855/55015/8667/708/6629/79050/6193/29777/10992/115939/9775/88745/404672/6207/6202/65083/26121/6839/8683/55646/51441/55692/79039/6217/6129/23016/57035/23521/6194/90441/6155/2971/55759/6234/6165/6210/25983/9277/91582/23481/10728/6227/51010/10607/55011/11224/10813/51550/29081/3921/26284/57418/84128/51096/64216/22889/9045/80135/92856/55272/6169/51602/54059/8894/6152/51093/56949/6175/11338/6838/55695/5303/6209/10557/8562/51547/401466/5901/10199/6201/54433/3326/5393/55505/6633/54960/6628/28985/79833/79084/51639/10907/10856/22907/6632/22827/6631/51406/8568/51504/56915/55813/113000/27349/57109/115416/92170/51631/23212/51116/6130/9326/10528/51001/10799/8662/114049/54512/5036/23404/8241/26164/8668/54475/55299/55651/6431/10248/6637/51121/27339/10969/81887/54555/6636/54606/25804/1736/705/6218/6635/51154/79954/1207/6895/25879/26155/54663/23246/220064/51491/56342/6627/9136/8607/29889"
"GO:0042254","ribosome biogenesis",309,-0.628986908477411,-3.56301660504176,1.98110360580928e-56,6.15132669603781e-53,2.96644197817231e-53,3584,"tags=56%, list=16%, signal=47%","11340/92342/25926/56902/79863/220717/83939/84881/8602/6125/55661/84946/102157402/9092/83743/64794/6135/55178/317781/6154/6189/26574/51367/84769/51118/79922/2068/4931/55319/6203/65095/10436/6230/6191/10360/3692/23560/4809/55027/91893/27079/81554/27043/27341/6229/57050/2197/84154/10514/57696/6208/10775/6223/85395/2091/6205/6233/4869/285855/708/79050/6193/29777/115939/9775/88745/404672/6207/6202/65083/6839/55646/51441/79039/6217/6129/23016/6194/90441/6155/2971/55759/6234/6165/6210/25983/9277/91582/23481/6227/51010/10607/55011/11224/10813/51550/29081/3921/26284/57418/84128/51096/64216/9045/80135/92856/55272/6169/51602/54059/6152/51093/6175/6838/55695/5303/6209/10557/51547/401466/5901/10199/6201/54433/5393/55505/22907/51406/8568/51504/56915/55813/113000/27349/57109/115416/92170/23212/51116/6130/9326/10528/51001/10799/114049/54512/5036/23404/8241/26164/54475/55299/55651/10248/51121/10969/81887/54555/54606/1736/705/6218/51154/79954/25879/26155/54663/23246/220064/51491/56342/9136/29889"
"GO:0140053","mitochondrial gene expression",168,-0.691689675986873,-3.65327793036725,1.90397658493594e-41,3.94123153081739e-38,1.9006362751378e-38,4643,"tags=72%, list=21%, signal=57%","65003/10352/5188/55157/55037/55699/23395/51106/9553/26589/65008/64981/84311/57570/55168/28958/64978/84881/4528/51095/55005/65080/87178/51263/51250/63875/26024/5018/54938/116541/84545/122704/84769/28973/79675/51069/84148/60488/54802/51023/28977/29074/63931/285367/283459/79072/128308/10573/51264/219402/51258/51204/708/90480/6150/64976/54460/51067/219927/64965/54998/64216/51373/54931/64963/51073/11222/64432/54534/65005/57505/5442/80298/6182/81892/55052/6472/6832/56652/28998/118487/64969/51021/29088/7284/10922/80222/3028/64975/2617/80324/115416/92170/64979/51642/124454/6183/51116/28957/54948/29093/7818/64960/51253/51001/51081/84300/65993/9238/51654/78988/26164/51650/3396/57129/64928/64949/79590/84705/26995/84275"
"GO:0006364","rRNA processing",219,-0.637456011249021,-3.48450941602981,1.05176786395907e-40,1.63286960879645e-37,7.87441992885145e-38,3584,"tags=57%, list=16%, signal=48%","11340/92342/25926/79863/84881/8602/6125/55661/102157402/9092/6135/55178/317781/6154/51367/51118/79922/2068/4931/65095/10436/6230/10360/3692/23560/4809/91893/27079/27043/27341/6229/57050/84154/57696/6208/10775/6223/85395/2091/285855/79050/29777/115939/9775/88745/404672/6202/65083/6839/55646/51441/79039/6217/6129/23016/6194/6155/55759/6234/6165/25983/9277/23481/6227/51010/10607/55011/11224/10813/29081/57418/84128/51096/64216/9045/80135/92856/55272/51602/54059/51093/55695/5303/6209/10557/51547/10199/6201/54433/5393/55505/51406/8568/51504/56915/55813/113000/57109/23212/6130/9326/10528/10799/114049/54512/5036/23404/55299/55651/10248/10969/81887/54555/54606/1736/705/6218/51154/79954/25879/54663/23246/56342/9136"
"GO:0016072","rRNA metabolic process",266,-0.582659488167944,-3.23840272885122,8.02205212680056e-39,9.96338874148629e-36,4.8047870106837e-36,3584,"tags=52%, list=16%, signal=44%","11340/92342/25926/79863/84881/84365/8602/6125/55661/102157402/9092/6135/55178/317781/6154/51367/51118/79922/2068/4931/65095/10436/6230/9191/5434/10360/3692/23560/4809/91893/27079/27043/27341/6229/57050/84154/57696/6208/10775/6223/85395/2091/285855/79002/79050/29777/115939/9775/88745/404672/6202/65083/6839/55646/51441/79039/6217/6129/23016/6194/6155/2971/55759/6234/6165/25983/9277/23481/6227/6598/51010/10607/55011/11224/10813/9555/29081/4141/57418/84128/51096/64216/9045/80135/92856/55272/51602/54059/51093/10849/55695/5303/6209/10557/51547/10199/6201/54433/5393/51082/55505/9328/4691/51406/8568/51504/56915/55813/113000/57109/2976/23212/6130/9326/10528/10799/114049/54512/5036/23404/2972/55299/55651/10248/10969/81887/54555/54606/1736/705/6218/51154/79954/6597/25879/54663/23246/56342/9136"
"GO:0032543","mitochondrial translation",129,-0.719726350204512,-3.66417436679022,1.58441122378309e-36,1.6398656166155e-33,7.90815777484719e-34,4643,"tags=78%, list=21%, signal=61%","65003/10352/5188/55157/55037/55699/23395/9553/26589/65008/64981/84311/55168/28958/64978/84881/4528/55005/65080/51263/63875/26024/5018/54938/116541/84545/122704/84769/28973/51069/60488/51023/28977/29074/63931/285367/283459/79072/128308/10573/51264/219402/51258/51204/708/90480/6150/64976/54460/51067/219927/64965/54998/51373/54931/64963/51073/11222/64432/54534/65005/57505/6182/55052/6472/28998/118487/64969/51021/29088/7284/80222/64975/2617/115416/92170/64979/51642/124454/6183/51116/28957/54948/29093/7818/64960/51253/51081/84300/65993/51654/78988/26164/51650/3396/57129/64928/64949/79590/26995"
"GO:0002181","cytoplasmic translation",205,-0.594950278652866,-3.22899326674979,2.24377973367867e-32,1.96833127309304e-29,9.4921645426726e-30,3772,"tags=59%, list=17%, signal=49%","6231/3192/7249/8669/8892/26272/6134/92342/27335/221120/220717/10480/6133/6125/1968/6135/8664/1981/4736/6154/6189/6122/8666/6138/8473/5936/1939/6203/6230/1938/6164/6191/7555/26986/6229/9349/2197/6171/6208/6142/6223/6181/6173/6166/6205/6233/4733/8667/1936/6193/7311/24140/6136/6207/6202/51441/56339/6235/200916/6217/6129/8891/6170/23521/6194/6155/6157/208/6234/6161/6165/6210/6188/6141/22916/6227/10399/11224/6158/3921/6160/25873/9045/6147/6169/6124/6159/6139/8894/6152/6143/6222/6175/6132/6176/6209/6156/8562/6167/84219/6168/6201/6199/6187/3184/6128/55004/28985/1967/6130/7884/8662/8668/6204/51121/6218/10641/84335/10322/8890/8893"
"GO:0043062","extracellular structure organization",315,0.626275854732228,2.42162769703847,2.53569246131148e-32,1.96833127309304e-29,9.4921645426726e-30,4151,"tags=50%, list=19%, signal=41%","4921/4629/23768/7049/858/857/2294/3690/285590/7078/1288/11096/4147/1286/2192/4811/11117/151887/79625/55959/2296/133584/7373/1842/10630/5156/4313/8516/4323/4239/11095/89932/30008/9215/144165/22795/1291/1296/8425/4325/2824/1284/3908/25890/4088/84627/64093/23187/23213/84168/169611/7042/10516/54507/11107/7148/83872/5212/4060/79875/57188/83716/81794/1285/3673/1289/1513/406937/55612/7045/7092/1282/1805/165/6423/85301/59277/1278/2295/861/2621/10491/4035/7133/3037/3688/8434/1520/649/3912/4851/1310/1281/4017/23127/2006/5768/60495/2131/56999/1991/25975/60484/57589/7046/7075/8313/81792/57326/23332/302/118429/339366/4016/84695/7040/3491/5268/4327/26254/323/650/170689/10893/2683/59350/342371/10631/8837/25903/9510/6774/3038/1511/1290/3913/7177/11174/89780/4326/4148/9509/1215/5345/7124/90102/50509/351/1545/171019/170692/2191/2303/407019/1277/4316/3569/164656"
"GO:0030198","extracellular matrix organization",314,0.62633383237178,2.42164879201451,3.15199565766022e-32,2.17487700378555e-29,1.04882194690565e-29,4151,"tags=50%, list=19%, signal=41%","4921/4629/23768/7049/858/857/2294/3690/285590/7078/1288/11096/4147/1286/2192/4811/11117/151887/79625/55959/2296/133584/7373/1842/10630/5156/4313/8516/4323/4239/11095/89932/30008/9215/144165/22795/1291/1296/8425/4325/2824/1284/3908/25890/4088/84627/64093/23187/23213/84168/169611/7042/10516/54507/11107/7148/83872/5212/4060/79875/57188/83716/81794/1285/3673/1289/1513/406937/55612/7045/7092/1282/1805/165/6423/85301/59277/1278/2295/861/2621/10491/4035/7133/3037/3688/8434/1520/649/3912/4851/1310/1281/4017/23127/2006/5768/60495/2131/56999/1991/25975/60484/57589/7046/7075/8313/81792/57326/23332/302/118429/339366/4016/84695/7040/3491/5268/4327/26254/323/650/170689/10893/2683/59350/342371/10631/8837/25903/9510/6774/3038/1511/1290/3913/7177/11174/89780/4326/4148/9509/1215/5345/7124/90102/50509/351/1545/171019/170692/2191/2303/407019/1277/4316/3569/164656"
"GO:0045229","external encapsulating structure organization",316,0.626615439742256,2.4230972527385,5.6268567460638e-32,3.49427803930562e-29,1.68509552026858e-29,4151,"tags=50%, list=19%, signal=41%","4921/4629/23768/7049/858/857/2294/3690/285590/7078/1288/11096/4147/1286/2192/4811/11117/151887/79625/55959/2296/133584/7373/1842/10630/5156/4313/8516/4323/4239/11095/89932/30008/9215/144165/22795/1291/1296/8425/4325/2824/1284/3908/25890/4088/84627/64093/23187/23213/84168/169611/7042/10516/54507/11107/7148/83872/5212/4060/79875/57188/83716/81794/1285/3673/1289/1513/406937/55612/7045/7092/1282/1805/165/6423/85301/59277/1278/2295/861/2621/10491/4035/7133/3037/3688/8434/1520/649/3912/4851/1310/1281/4017/23127/2006/5768/60495/2131/56999/1991/25975/60484/57589/7046/7075/8313/81792/57326/23332/302/118429/339366/4016/84695/7040/3491/5268/4327/26254/323/650/170689/10893/2683/59350/342371/10631/8837/25903/9510/6774/3038/1511/1290/3913/7177/11174/89780/4326/4148/9509/1215/7051/5345/7124/90102/50509/351/1545/171019/170692/2191/2303/407019/1277/4316/3569/164656"
