"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022613","ribonucleoprotein complex biogenesis",460,-0.594282672023192,-3.50901413378173,4.07427898420431e-72,2.53012724919088e-68,1.22314143820534e-68,3967,"tags=54%, list=18%, signal=45%","6232/10181/10713/55702/6880/131870/84273/79029/8175/6433/8669/10262/11340/79760/92342/25926/27335/56902/79863/51634/220717/8996/24148/10480/83939/84881/8602/6125/55661/83443/84946/102157402/9092/83743/64794/84844/1968/6135/6606/6430/8664/55178/317781/9129/6154/6189/26574/8666/57819/51367/84769/51118/79922/2068/1939/4931/55319/54496/6203/8487/65095/10436/6230/6191/10078/10360/3692/23560/4809/51747/55027/91893/27079/121053/81554/27043/27341/6229/57050/2197/84154/10514/57696/6208/10775/6223/85395/2091/6205/6233/4869/285855/55015/8667/708/6629/79050/6193/29777/10992/115939/9775/88745/404672/6207/6202/65083/26121/6839/8683/55646/51441/55692/79039/6217/6129/23016/57035/23521/6194/90441/6155/2971/55759/6234/6165/6210/25983/9277/91582/23481/10728/6227/51010/10607/55011/11224/10813/51550/29081/3921/26284/57418/84128/51096/64216/22889/9045/80135/92856/55272/6169/51602/54059/8894/6152/51093/56949/6175/11338/6838/55695/5303/6209/10557/8562/51547/401466/5901/10199/6201/54433/3326/5393/55505/6633/54960/6628/28985/79833/79084/51639/10907/10856/22907/6632/22827/6631/51406/8568/51504/56915/55813/113000/27349/57109/115416/92170/51631/23212/51116/6130/9326/10528/51001/10799/8662/114049/54512/5036/23404/8241/26164/8668/54475/55299/55651/6431/10248/6637/51121/27339/10969/81887/54555/6636/54606/25804/1736/705/6218/6635/51154/79954/1207/6895/25879/26155/54663/23246/220064/51491/56342/6627/9136/8607/29889"
"GO:0042254","ribosome biogenesis",309,-0.628964714671938,-3.53949939687489,1.93043300733029e-55,5.99399448776056e-52,2.89768154574e-52,3584,"tags=56%, list=16%, signal=47%","11340/92342/25926/56902/79863/220717/83939/84881/8602/6125/55661/84946/102157402/9092/83743/64794/6135/55178/317781/6154/6189/26574/51367/84769/51118/79922/2068/4931/55319/6203/65095/10436/6230/6191/10360/3692/23560/4809/55027/91893/27079/81554/27043/27341/6229/57050/2197/84154/10514/57696/6208/10775/6223/85395/2091/6205/6233/4869/285855/708/79050/6193/29777/115939/9775/88745/404672/6207/6202/65083/6839/55646/51441/79039/6217/6129/23016/6194/90441/6155/2971/55759/6234/6165/6210/25983/9277/91582/23481/6227/51010/10607/55011/11224/10813/51550/29081/3921/26284/57418/84128/51096/64216/9045/80135/92856/55272/6169/51602/54059/6152/51093/6175/6838/55695/5303/6209/10557/51547/401466/5901/10199/6201/54433/5393/55505/22907/51406/8568/51504/56915/55813/113000/27349/57109/115416/92170/23212/51116/6130/9326/10528/51001/10799/114049/54512/5036/23404/8241/26164/54475/55299/55651/10248/51121/10969/81887/54555/54606/1736/705/6218/51154/79954/25879/26155/54663/23246/220064/51491/56342/9136/29889"
"GO:0006364","rRNA processing",219,-0.63743368609573,-3.47389336625925,1.97551699020868e-42,4.08932016973196e-39,1.9769033179211e-39,3584,"tags=57%, list=16%, signal=48%","11340/92342/25926/79863/84881/8602/6125/55661/102157402/9092/6135/55178/317781/6154/51367/51118/79922/2068/4931/65095/10436/6230/10360/3692/23560/4809/91893/27079/27043/27341/6229/57050/84154/57696/6208/10775/6223/85395/2091/285855/79050/29777/115939/9775/88745/404672/6202/65083/6839/55646/51441/79039/6217/6129/23016/6194/6155/55759/6234/6165/25983/9277/23481/6227/51010/10607/55011/11224/10813/29081/57418/84128/51096/64216/9045/80135/92856/55272/51602/54059/51093/55695/5303/6209/10557/51547/10199/6201/54433/5393/55505/51406/8568/51504/56915/55813/113000/57109/23212/6130/9326/10528/10799/114049/54512/5036/23404/55299/55651/10248/10969/81887/54555/54606/1736/705/6218/51154/79954/25879/54663/23246/56342/9136"
"GO:0140053","mitochondrial gene expression",168,-0.691660634012799,-3.64622003274498,1.10365091158505e-41,1.71341804023579e-38,8.2831905258962e-39,4643,"tags=72%, list=21%, signal=57%","65003/10352/5188/55157/55037/55699/23395/51106/9553/26589/65008/64981/84311/57570/55168/28958/64978/84881/4528/51095/55005/65080/87178/51263/51250/63875/26024/5018/54938/116541/84545/122704/84769/28973/79675/51069/84148/60488/54802/51023/28977/29074/63931/285367/283459/79072/128308/10573/51264/219402/51258/51204/708/90480/6150/64976/54460/51067/219927/64965/54998/64216/51373/54931/64963/51073/11222/64432/54534/65005/57505/5442/80298/6182/81892/55052/6472/6832/56652/28998/118487/64969/51021/29088/7284/10922/80222/3028/64975/2617/80324/115416/92170/64979/51642/124454/6183/51116/28957/54948/29093/7818/64960/51253/51001/51081/84300/65993/9238/51654/78988/26164/51650/3396/57129/64928/64949/79590/84705/26995/84275"
"GO:0016072","rRNA metabolic process",266,-0.582637162593978,-3.23645255139001,1.11972427640577e-38,1.39069755129597e-35,6.72306028696688e-36,3584,"tags=52%, list=16%, signal=44%","11340/92342/25926/79863/84881/84365/8602/6125/55661/102157402/9092/6135/55178/317781/6154/51367/51118/79922/2068/4931/65095/10436/6230/9191/5434/10360/3692/23560/4809/91893/27079/27043/27341/6229/57050/84154/57696/6208/10775/6223/85395/2091/285855/79002/79050/29777/115939/9775/88745/404672/6202/65083/6839/55646/51441/79039/6217/6129/23016/6194/6155/2971/55759/6234/6165/25983/9277/23481/6227/6598/51010/10607/55011/11224/10813/9555/29081/4141/57418/84128/51096/64216/9045/80135/92856/55272/51602/54059/51093/10849/55695/5303/6209/10557/51547/10199/6201/54433/5393/51082/55505/9328/4691/51406/8568/51504/56915/55813/113000/57109/2976/23212/6130/9326/10528/10799/114049/54512/5036/23404/2972/55299/55651/10248/10969/81887/54555/54606/1736/705/6218/51154/79954/6597/25879/54663/23246/56342/9136"
"GO:0032543","mitochondrial translation",129,-0.719697278356108,-3.65034726653356,1.27018233667267e-36,1.31463871845622e-33,6.35536846349205e-34,4643,"tags=78%, list=21%, signal=61%","65003/10352/5188/55157/55037/55699/23395/9553/26589/65008/64981/84311/55168/28958/64978/84881/4528/55005/65080/51263/63875/26024/5018/54938/116541/84545/122704/84769/28973/51069/60488/51023/28977/29074/63931/285367/283459/79072/128308/10573/51264/219402/51258/51204/708/90480/6150/64976/54460/51067/219927/64965/54998/51373/54931/64963/51073/11222/64432/54534/65005/57505/6182/55052/6472/28998/118487/64969/51021/29088/7284/80222/64975/2617/115416/92170/64979/51642/124454/6183/51116/28957/54948/29093/7818/64960/51253/51081/84300/65993/51654/78988/26164/51650/3396/57129/64928/64949/79590/26995"
"GO:0045229","external encapsulating structure organization",316,0.626729229523242,2.42614535914592,1.33514638424645e-32,1.09304111478908e-29,5.28409739703101e-30,4148,"tags=50%, list=19%, signal=41%","4921/4629/23768/7049/858/857/2294/3690/285590/7078/1288/11096/4147/1286/2192/4811/11117/151887/79625/55959/2296/133584/7373/1842/10630/5156/4313/8516/4323/4239/11095/89932/30008/9215/144165/22795/1291/1296/8425/4325/2824/1284/3908/25890/4088/84627/64093/23187/23213/84168/169611/7042/10516/54507/11107/7148/83872/5212/4060/79875/57188/83716/81794/1285/3673/1289/1513/406937/55612/7045/7092/1282/1805/165/6423/85301/59277/1278/2295/861/2621/10491/4035/7133/3037/3688/8434/1520/649/3912/4851/1310/1281/4017/23127/2006/5768/60495/2131/56999/1991/25975/60484/57589/7046/7075/8313/81792/57326/23332/302/118429/339366/4016/84695/7040/3491/5268/4327/26254/323/650/170689/10893/2683/59350/342371/10631/8837/25903/9510/6774/3038/1511/1290/3913/7177/11174/89780/4326/4148/9509/1215/7051/5345/7124/90102/50509/351/1545/171019/170692/2191/2303/407019/1277/4316/3569/164656"
"GO:0030198","extracellular matrix organization",314,0.626447607460029,2.42466162263573,1.40810449570251e-32,1.09304111478908e-29,5.28409739703101e-30,4148,"tags=50%, list=19%, signal=41%","4921/4629/23768/7049/858/857/2294/3690/285590/7078/1288/11096/4147/1286/2192/4811/11117/151887/79625/55959/2296/133584/7373/1842/10630/5156/4313/8516/4323/4239/11095/89932/30008/9215/144165/22795/1291/1296/8425/4325/2824/1284/3908/25890/4088/84627/64093/23187/23213/84168/169611/7042/10516/54507/11107/7148/83872/5212/4060/79875/57188/83716/81794/1285/3673/1289/1513/406937/55612/7045/7092/1282/1805/165/6423/85301/59277/1278/2295/861/2621/10491/4035/7133/3037/3688/8434/1520/649/3912/4851/1310/1281/4017/23127/2006/5768/60495/2131/56999/1991/25975/60484/57589/7046/7075/8313/81792/57326/23332/302/118429/339366/4016/84695/7040/3491/5268/4327/26254/323/650/170689/10893/2683/59350/342371/10631/8837/25903/9510/6774/3038/1511/1290/3913/7177/11174/89780/4326/4148/9509/1215/5345/7124/90102/50509/351/1545/171019/170692/2191/2303/407019/1277/4316/3569/164656"
"GO:0006935","chemotaxis",436,0.579063797232616,2.2653539667704,1.88110242931721e-32,1.16816460860599e-29,5.64726750359231e-30,4664,"tags=50%, list=21%, signal=40%","284/23768/196527/2247/25960/3680/83700/2255/3690/3672/10371/2252/55742/2260/23603/8828/1902/5156/4313/652/6376/4916/1946/6091/59352/4233/4088/3082/2047/1435/80031/3815/7042/9423/5159/9037/64805/3084/79890/5293/1908/3071/1436/1910/3673/6387/718/6586/80310/5288/9353/5294/5355/2950/116173/3603/5919/57118/7412/1880/3791/729230/5588/1845/11240/7162/154796/1794/1901/2668/223117/2241/2621/6092/1130/9023/23767/1969/30817/8633/3897/6693/5764/4908/4851/2045/683/5724/2829/2155/7409/972/51411/57449/3579/57509/1524/1240/56477/1234/301/10451/146433/5880/120425/6366/1991/5168/6372/5337/10663/10512/63940/5228/23075/3958/7852/8740/7057/3689/1441/2246/6275/1230/6352/6504/5328/6367/719/9723/8482/1233/7040/3491/2549/1236/59341/5197/91584/6368/10800/9750/6363/6358/4046/1432/9420/56833/10563/57402/57007/3570/4858/11151/10803/1511/6374/10584/1012/6688/2357/199/3965/51176/3553/1588/1843/3592/23396/10457/89780/6846/1906/1235/284340/2833/1232/3586/659/2919/8817/9034/2359/6375/1960/6364/1237/351/6360/1839/2920/6351/2321/51119/6347/4681/56920/23077/3685/3577/54910/3569/8600/2841/6280/2207/6036/2185/1269/5329/7130/23765/4739/3576/1672/2242/6850/5800/2921/2358"
"GO:0042330","taxis",436,0.579063797232616,2.2653539667704,1.88110242931721e-32,1.16816460860599e-29,5.64726750359231e-30,4664,"tags=50%, list=21%, signal=40%","284/23768/196527/2247/25960/3680/83700/2255/3690/3672/10371/2252/55742/2260/23603/8828/1902/5156/4313/652/6376/4916/1946/6091/59352/4233/4088/3082/2047/1435/80031/3815/7042/9423/5159/9037/64805/3084/79890/5293/1908/3071/1436/1910/3673/6387/718/6586/80310/5288/9353/5294/5355/2950/116173/3603/5919/57118/7412/1880/3791/729230/5588/1845/11240/7162/154796/1794/1901/2668/223117/2241/2621/6092/1130/9023/23767/1969/30817/8633/3897/6693/5764/4908/4851/2045/683/5724/2829/2155/7409/972/51411/57449/3579/57509/1524/1240/56477/1234/301/10451/146433/5880/120425/6366/1991/5168/6372/5337/10663/10512/63940/5228/23075/3958/7852/8740/7057/3689/1441/2246/6275/1230/6352/6504/5328/6367/719/9723/8482/1233/7040/3491/2549/1236/59341/5197/91584/6368/10800/9750/6363/6358/4046/1432/9420/56833/10563/57402/57007/3570/4858/11151/10803/1511/6374/10584/1012/6688/2357/199/3965/51176/3553/1588/1843/3592/23396/10457/89780/6846/1906/1235/284340/2833/1232/3586/659/2919/8817/9034/2359/6375/1960/6364/1237/351/6360/1839/2920/6351/2321/51119/6347/4681/56920/23077/3685/3577/54910/3569/8600/2841/6280/2207/6036/2185/1269/5329/7130/23765/4739/3576/1672/2242/6850/5800/2921/2358"
