"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","Ribosome",171,-0.750805019099038,-3.99365956785067,4.4833605754948e-56,1.58262628314967e-53,6.41828461333993e-54,3967,"tags=84%, list=18%, signal=69%","6232/26589/65008/64981/6231/84311/55168/92259/6134/64978/6133/6125/65080/51263/6192/63875/6135/4736/116541/6154/6189/84545/6122/122704/6138/6203/28973/6230/6164/6191/51069/60488/51023/28977/29074/63931/6229/9349/2197/6171/6208/6142/128308/6223/6181/6173/10573/6166/6205/51264/6233/51258/6193/7311/90480/6136/6207/6202/6235/6150/200916/6217/6129/64976/6170/23521/6194/54460/6155/6157/6234/6161/6165/6210/6188/6141/219927/64965/54998/6227/10399/11224/6158/3921/6160/51373/25873/9045/64963/6147/6169/6124/51073/6159/6139/6152/6143/6222/11222/6175/64432/6132/54534/6176/6209/65005/6156/6167/6168/6182/6201/55052/6187/6128/28998/118487/64969/51021/29088/64975/64979/51642/6183/51116/6130/28957/54948/29093/7818/64960/51253/51081/65993/78988/6204/51650/51121/3396/57129/6218/64928/64949/79590"
"hsa04820","Cytoskeleton in muscle cells",231,0.642468496589501,2.45467391190976,4.03145153683101e-26,7.11551196250673e-24,2.88567057373167e-24,4265,"tags=54%, list=20%, signal=44%","171024/4629/7414/25802/2318/3680/23500/8082/2273/3690/1288/7168/11155/3672/477/1293/1286/287/2192/4811/6443/7094/23345/72/2200/3679/1634/482/1465/1756/8516/56776/1674/2274/7111/10398/22795/1291/1284/3908/70/9672/3678/8910/91977/6442/1837/3696/9260/7169/1292/161176/1285/79188/3673/1289/6445/1282/85301/27295/1278/2199/3691/3339/8736/7791/91010/9124/1158/3688/2335/1281/2006/7431/2201/3675/3676/481/4624/60/3694/7057/8572/6711/3695/2026/1287/29767/6641/1462/2275/23224/4627/51778/7058/6709/7171/137868/1297/6383/6444/4634/58/5318/58529/1290/9172/22801/270/88/4606/6645/50509/830/343263/84033/7140/3685/480/1277/127294/27063/10529/84676/118461"
"hsa00190","Oxidative phosphorylation",131,-0.634589391944269,-3.24824886767312,3.06415568595034e-25,3.60548985713489e-23,1.46219359048858e-23,4065,"tags=60%, list=19%, signal=49%","498/522/527/4697/4714/10632/539/6389/514/4725/29796/9296/5464/1350/374291/155066/4711/7386/4718/4700/90423/4722/7384/4720/9167/9551/521/4708/4713/4701/54205/1351/55967/1340/7381/537/126328/4728/513/4717/518/27089/4696/1345/509/506/4723/51079/4694/4712/4695/1347/4726/6390/4731/4706/10063/9550/1329/4709/54539/517/4707/4705/1349/533/4702/10476/440567/1337/4715/516/7388/1537/9377/27068/4716/4710"
"hsa03040","Spliceosome",154,-0.604990587509385,-3.16909071214488,5.22013401000289e-25,4.60676826382755e-23,1.86825848779051e-23,5353,"tags=58%, list=25%, signal=44%","27238/57461/101954272/10286/22985/22938/7919/3312/199746/10929/101954278/7536/6426/1655/84991/10713/55702/642659/3192/8175/9410/10262/6428/84321/9939/124904621/51634/24148/6432/83443/4670/3190/51645/9092/84844/220988/6430/9129/11017/55110/57819/151903/9984/6100/10450/4809/29896/80145/9128/6629/51691/10992/9775/4116/26121/8683/27316/3178/79228/22916/8896/10189/56949/11338/6626/23658/10084/2521/6633/51503/6628/51639/10907/6632/22827/6631/10465/27258/6625/51690/3183/6431/6637/27339/6636/25804/6635/6427/6627"
"hsa04518","Integrin signaling",149,0.695668699323782,2.58339804869042,2.17408198886141e-24,1.53490188413615e-22,6.22474001021371e-23,3440,"tags=51%, list=16%, signal=43%","2316/7414/10979/3680/87/3690/1288/3672/1293/1286/341640/894/55742/3910/7094/2200/3679/5156/3371/8516/9459/1291/4233/1284/55679/3908/3082/3678/5159/7148/5293/3696/5295/1292/1285/3673/718/80310/55612/1282/3684/7412/1278/3691/3791/3688/3912/2335/1101/3683/3675/5880/3676/5228/60/3694/3385/7057/3689/158326/3914/3695/3611/1287/7040/3384/81/1956/7058/2324/1297/3913/22801/3383/10000/5290"
"hsa04517","IgSF CAM signaling",295,0.588664608846642,2.27397855789176,8.09796003376239e-24,4.76429981986354e-22,1.93214485016085e-22,3494,"tags=40%, list=16%, signal=34%","10580/4629/7414/1272/79827/5063/55243/83700/87/3690/145581/4478/54413/4684/3737/287/2260/7225/8828/58494/2037/23114/5376/8506/3635/10398/4916/6091/2308/5336/3678/84617/9423/23136/84189/5293/5295/57144/342035/6586/23085/219699/9353/3937/5578/3684/22865/3791/5588/2036/7846/5906/6092/3688/8633/3897/1630/10225/8826/7409/57863/962/2534/5908/10666/3683/92154/51744/26050/22829/10451/8777/120425/4063/3676/84631/114836/4359/9863/60/5362/3385/3689/6711/1000/6504/8832/942/5375/914/6900/84552/117178/3384/57555/54538/81/91584/56253/22871/3742/1432/80852/940/5803/4627/7277/57823/7189/6709/57689/201633/84623/3383/10000/340156/5290/30835/5781"
"hsa04510","Focal adhesion",197,0.636701746987642,2.41079025628278,1.26968049904497e-22,6.40281737375533e-21,2.59663981759572e-21,3461,"tags=45%, list=16%, signal=38%","4660/2316/7414/5063/3680/858/857/87/3690/1288/3672/1293/1286/894/55742/3910/7094/3679/5156/3371/8516/10398/1291/4659/4233/1284/3908/3082/3678/5159/7148/5293/3696/5295/1292/57144/1285/9475/3673/80310/1282/5578/1278/3691/3791/5906/53358/7791/330/3688/3912/596/2335/8395/1101/7409/2012/2534/5908/10451/3675/5880/3676/5228/60/3694/7057/3914/3695/3611/1793/1287/6654/81/1956/5728/7058/2324/1297/5923/394/3913/22801/23396/10000/340156/5290/859"
"hsa05016","Huntington disease",298,-0.450517031978854,-2.55055348652086,5.4333441099707e-22,2.13107830091073e-20,8.64251226849141e-21,4399,"tags=45%, list=20%, signal=37%","7417/23130/5702/515/3831/27113/498/1769/26100/522/5609/161/4697/4714/8408/2876/11258/10105/5687/5694/539/5715/5690/10540/5701/6389/514/4725/3065/29796/1350/1175/374291/6647/5433/2902/5717/4711/5714/203068/292/7386/5434/4718/5438/4700/5436/4722/7416/7384/4720/5705/9167/5691/5685/1211/5439/5441/4708/4713/4701/54205/1351/55967/1340/7381/5331/126328/5440/4728/5710/513/4717/518/7979/7186/10120/27089/4696/1345/581/509/506/5688/10213/5709/4723/51079/293/4694/4712/4695/10383/1347/4726/6390/5682/4731/4706/11047/1329/5689/4709/127602/54539/10126/9861/5435/5686/5692/517/5706/4707/4705/5695/64837/1349/4702/5704/148327/10476/440567/1337/4294/4715/5693/5684/516/7388/1537/9377/4716/5719/4710/5437"
"hsa05014","Amyotrophic lateral sclerosis",357,-0.417766744671663,-2.4017356578157,5.32261146037454e-22,2.13107830091073e-20,8.64251226849141e-21,4537,"tags=43%, list=21%, signal=35%","4704/60673/56893/100101267/55706/23130/5702/515/3831/498/1769/9688/26100/1649/522/642659/5534/4697/4714/81929/8408/2876/6428/11258/5687/5694/3309/10013/10280/539/79023/5715/5690/6432/2733/8480/10540/5701/6389/514/4725/5530/23636/29796/220988/129401/1350/374291/23225/6647/2902/5717/4711/71/5714/203068/10482/7386/9973/4718/4700/1616/4722/375189/7416/7384/4720/5705/9167/5691/5685/4708/348995/4713/3178/4701/54205/1351/55967/1340/7381/126328/4728/5710/513/4717/518/7979/468/7186/10120/27089/4696/1345/79902/581/509/506/5688/6300/10213/5709/10189/4723/51079/4694/4712/4695/10383/7415/1347/4726/6390/5682/4731/4706/6396/11047/1329/5689/2521/572/4709/127602/54539/10126/9861/5686/5692/517/5706/4707/4705/5695/64837/1349/4702/5704/23435/10476/440567/1337/4715/3181/5693/5684/516/7388/1537/9377/4716/5719/10452/4710"
"hsa04060","Cytokine-cytokine receptor interaction",251,0.58542899876367,2.24620114615839,8.54627962522826e-20,3.01683670770558e-18,1.22346739898005e-18,5750,"tags=63%, list=26%, signal=47%","90865/85480/7048/3953/652/1489/6376/958/1435/151449/7042/3572/1436/6387/3603/2662/60401/729230/9466/3575/7043/9180/3560/1439/1271/7133/4804/3587/2829/94/3600/3579/1524/4352/1438/56477/1234/920/146433/6366/8809/6372/3566/10663/944/8793/7046/8794/959/3606/7852/8740/1441/1230/6352/6367/1233/7040/9966/7850/653/8200/1236/355/5197/3598/3574/650/10148/6368/6363/3594/6358/10673/9173/3601/10563/57007/3570/8808/655/10803/6374/651/3553/3592/939/6846/3976/768211/1235/284340/90/2833/1232/149233/3586/659/2919/3604/6375/356/132014/7124/6364/1237/6360/943/3597/2920/6351/23495/3558/6347/64109/3577/11009/3569/3559/8600/3561/50615/3557/4982/657/23765/4050/8807/1440/9235/3576/58985/3624/27190/2921/7132/55504/392255/338376/4803/643/83729/3552/3581/6357/51554/29949/3977/3556/2826/3554/10913/8795/8797/3595/130399/115650"
